,circuit,num_samples,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time
0,No Control,1000,0.564015607708152,0.0002695009070802018,0.0008077111846846562,2.0,2.0,9.325252830986066,4.3703823236920645,37.415562868118286
1,No Control,1000,0.38583372189602805,4.27713168267887e-05,0.0006816875129168694,2.0,2.0,1.9889655494827385,1.0026332452557702,37.415562868118286
2,No Control,1000,0.2598662298617944,0.00020734435754619096,0.00027035312510091734,2.0,2.0,7.4432407930951445,1.92206070119207,37.415562868118286
3,No Control,1000,0.5727596516783702,0.00013573145997593982,0.0009803833341327228,2.0,2.0,6.654857894210435,9.437775525352068,37.415562868118286
4,No Control,1000,0.4770728740181539,6.0543827623713356e-05,0.0008612383600401549,2.0,2.0,7.9523177869736275,8.020174073203853,37.415562868118286
5,No Control,1000,0.9924449794537403,0.0008758356701215919,0.0009709644022608588,2.0,2.0,6.595954530465729,3.8125337931776704,37.415562868118286
6,No Control,1000,0.3622310564575565,0.0004697038622332479,0.00020520173194270395,2.0,2.0,7.782250813085201,5.059705696506222,37.415562868118286
7,No Control,1000,0.3437110233239289,0.00033636150627347624,0.000292220733199081,2.0,2.0,9.535045602350664,3.1061178565062595,37.415562868118286
8,No Control,1000,0.4681645805711628,0.0008512835708973792,1.4652646538195736e-05,2.0,2.0,1.2578722256595793,4.39713036255453,37.415562868118286
9,No Control,1000,0.6409590687537803,7.423407672237087e-06,0.0009034662844546733,2.0,2.0,3.0083536771761903,7.408176847172127,37.415562868118286
10,No Control,1000,0.23403337133402147,0.00035799613056543565,8.199921976208246e-05,2.0,2.0,1.759118792107217,1.8330705569199235,37.415562868118286
11,No Control,1000,0.3622351411454299,0.000547118260402741,0.00013758753241255387,2.0,2.0,9.152457869750863,0.8664376549496359,37.415562868118286
12,No Control,1000,0.9143876648476092,0.0009285768122950078,0.0007724997351150826,2.0,2.0,8.208144205175943,9.837284375749025,37.415562868118286
13,No Control,1000,0.4203120577014288,0.00014543787800044676,0.0006644477610705186,2.0,2.0,1.5996160042781389,7.7309319831549175,37.415562868118286
14,No Control,1000,0.2919078217668028,0.0004460303766106242,1.2302480028610621e-05,2.0,2.0,7.460830613408843,9.124915588575941,37.415562868118286
15,No Control,1000,0.4611848293718212,0.0006051528786724957,0.00025732373618009323,2.0,2.0,6.9230950365836765,5.422517231577407,37.415562868118286
16,No Control,1000,0.7805017041031926,0.00059474802900195,0.0008657128130864422,2.0,2.0,9.75723385206985,5.495525263020924,37.415562868118286
17,No Control,1000,0.29307316074383655,0.00033584048297846176,0.0002039237974678623,2.0,2.0,5.340391402524771,7.635823318365135,37.415562868118286
18,No Control,1000,0.7669326948037033,0.0007949783550769349,0.0006285362662201881,2.0,2.0,8.148646125587138,9.402193529742565,37.415562868118286
19,No Control,1000,0.7906702021793329,0.0005800369899787325,0.0009030922849279294,2.0,2.0,6.575433662455457,2.1904586038852925,37.415562868118286
20,No Control,1000,0.6644703626053802,0.0006352453492922428,0.0005910805455827784,2.0,2.0,6.093513964230331,6.467087397104845,37.415562868118286
21,No Control,1000,0.4069834583918282,0.0005954703738451672,0.0001722119899934877,2.0,2.0,3.397738611157656,1.653860855314825,37.415562868118286
22,No Control,1000,0.7795075668852587,0.0005536664678482849,0.0009109232662999511,2.0,2.0,4.665571445684011,1.1276042219378326,37.415562868118286
23,No Control,1000,0.6771936254094012,0.0007522607396498568,0.0005065158005704127,2.0,2.0,2.8357413085586254,2.340663969105207,37.415562868118286
24,No Control,1000,0.38471340667984555,9.151144451966969e-05,0.0006515452704186139,2.0,2.0,7.4444443410602705,8.436753134889415,37.415562868118286
25,No Control,1000,0.5839221808025247,0.000465069113698476,0.0006196055062203144,2.0,2.0,4.7869044204820534,5.032416722378327,37.415562868118286
26,No Control,1000,0.44131087244423234,0.00010070366269510082,0.0007555175910372822,2.0,2.0,0.9605611443092735,5.696331004354104,37.415562868118286
27,No Control,1000,0.24145839750349188,5.190300919339732e-05,6.368518392864345e-06,2.0,2.0,9.93724030004376,3.0286349624512034,37.415562868118286
28,No Control,1000,0.3499906886869326,0.00023357044002362423,0.00042106879180164907,2.0,2.0,6.65135625637221,3.753950718403417,37.415562868118286
29,No Control,1000,0.7884194776146488,0.0007196506243426947,0.0007391559192139979,2.0,2.0,6.902411552773251,6.086467136310042,37.415562868118286
30,No Control,1000,0.7744486090223947,0.0007843139879183482,0.0006519168031553254,2.0,2.0,3.2520841000660363,9.905042715036544,37.415562868118286
31,No Control,1000,0.569934016018315,0.0005254357758659996,0.0005229060129084729,2.0,2.0,2.56899043991666,9.193391853568063,37.415562868118286
32,No Control,1000,0.7891865872376642,0.0009047800036652954,0.0005683914497291305,2.0,2.0,2.976880066231037,9.954643788054545,37.415562868118286
33,No Control,1000,0.46875994531930265,0.0004600680297746012,0.00040099014592082555,2.0,2.0,8.575758147178126,4.343701086333379,37.415562868118286
34,No Control,1000,0.2500402557164347,0.00012395194628811204,0.00034786863479649904,2.0,2.0,1.6418309608825148,6.623049247331502,37.415562868118286
35,No Control,1000,0.43185412976585197,0.00043675106795575065,0.00035666267208366085,2.0,2.0,1.5320521960690165,2.5903947769440547,37.415562868118286
36,No Control,1000,0.8150916912832473,0.000854488265844522,0.0006608255519500816,2.0,2.0,5.199309343405251,1.0281786719070785,37.415562868118286
37,No Control,1000,0.6165143858832706,0.0009038092010615527,0.0002644458823942256,2.0,2.0,5.357349935121082,2.8017703136080025,37.415562868118286
38,No Control,1000,1.0197905548758186,0.0009952244804114147,0.0009031337014317949,2.0,2.0,7.842361151924652,1.3200003185363562,37.415562868118286
39,No Control,1000,0.5612318861551913,0.0002557818518745758,0.0008181649109835124,2.0,2.0,8.821392665341433,1.5612867476783123,37.415562868118286
40,No Control,1000,0.5872454722555088,0.0002721859636008398,0.0008510645607212337,2.0,2.0,3.9252397630194453,8.502634914680623,37.415562868118286
41,No Control,1000,0.9453794365710257,0.0008049300416946297,0.0009567641611954175,2.0,2.0,4.517817119656317,8.99262218227564,37.415562868118286
42,No Control,1000,0.4957999866877676,0.00027497504169961306,0.0006647573490109471,2.0,2.0,6.468298142151546,6.6441176750900794,37.415562868118286
43,No Control,1000,0.1539006785709698,0.00017148018896006293,0.00010786748582609111,2.0,2.0,0.5172205930968311,1.0632714875260967,37.415562868118286
44,No Control,1000,0.3233637249192458,0.0003062813783961163,0.0002838666740744755,2.0,2.0,7.290624742305194,6.269519850479268,37.415562868118286
45,No Control,1000,0.7791224373955935,0.0008481236576015224,0.0006018757598260464,2.0,2.0,8.010032811025512,6.252747112797032,37.415562868118286
46,No Control,1000,0.36614093608916104,0.0003134746242691231,0.00035772052508216146,2.0,2.0,8.079699889020985,0.24914741172193292,37.415562868118286
47,No Control,1000,0.4104728131727465,0.0006674187765753417,0.00011624587368020813,2.0,2.0,9.897567733730964,6.761278838599907,37.415562868118286
48,No Control,1000,0.49779556945009007,0.0008961753029537309,6.948524306400764e-05,2.0,2.0,0.12724641924960584,9.96195543666549,37.415562868118286
49,No Control,1000,0.23545410275976714,9.633015523766579e-05,0.00034813890400809164,2.0,2.0,3.1511581995022953,5.970695593022449,37.415562868118286
50,No Control,1000,0.38708464785767344,0.00024778145244057695,0.0004787810207251856,2.0,2.0,0.16966655974345507,6.843255331064297,37.415562868118286
51,No Control,1000,0.4778236751526925,0.0004929392309805811,0.0003870591510366214,2.0,2.0,0.30314779460865066,8.854451285931338,37.415562868118286
52,No Control,1000,0.5853746778142469,0.0009381407935788119,0.00018128495939565467,2.0,2.0,8.359528710581877,6.865896510848462,37.415562868118286
53,No Control,1000,0.8745463602974721,0.0007893105595114964,0.0008324529252686319,2.0,2.0,9.161095806608273,4.234041095938882,37.415562868118286
54,No Control,1000,0.1338635836379638,7.698284100784236e-05,0.00016280190072271613,2.0,2.0,6.66730370170736,2.347630684767386,37.415562868118286
55,No Control,1000,0.6904667027040476,0.000597456315609114,0.0006799990931946157,2.0,2.0,0.6271455414463597,0.8982143238360459,37.415562868118286
56,No Control,1000,0.5680139162605241,0.0003000845018211553,0.0007800240260396736,2.0,2.0,8.455902741511231,8.513289338738419,37.415562868118286
57,No Control,1000,0.6806846021166154,0.0007969504022828319,0.00047230675849986884,2.0,2.0,0.023914809807474843,0.3088084526480393,37.415562868118286
58,No Control,1000,0.22674217237634828,0.0001470946244177614,0.00027495202816897564,2.0,2.0,7.129180169496748,7.771132631801495,37.415562868118286
59,No Control,1000,0.2597231085587238,0.0001728847253519672,0.00031120958197879627,2.0,2.0,2.6217065993237605,7.379492634375424,37.415562868118286
60,No Control,1000,0.5949384092347089,0.0008843726953716324,0.00024412062276620207,2.0,2.0,7.787659441622412,1.2642365651993897,37.415562868118286
61,No Control,1000,0.7329578949717214,0.00048631386405995866,0.0008948670188837598,2.0,2.0,1.737816646116875,7.366648789132312,37.415562868118286
62,No Control,1000,0.7888919527590743,0.0009196729813966959,0.0005543578345067923,2.0,2.0,4.749066771573893,9.072820781665559,37.415562868118286
63,No Control,1000,0.22923080191500747,0.0003031315531899747,0.00012217100742181476,2.0,2.0,5.521886619637319,8.899751094919733,37.415562868118286
64,No Control,1000,0.7621324291486776,0.0006776260986656326,0.0007326155396287045,2.0,2.0,3.825436040291021,0.597798880018798,37.415562868118286
65,No Control,1000,0.6925710687964268,0.0005400097090693953,0.0007516799463919787,2.0,2.0,8.389548658371302,4.573747127462137,37.415562868118286
66,No Control,1000,0.5009699576731388,0.0009151891976905835,5.86012037564742e-05,2.0,2.0,6.861554473002713,1.948524359358693,37.415562868118286
67,No Control,1000,0.5265751968378287,0.0005966282203301251,0.00037962211055125796,2.0,2.0,1.4136308137295237,6.315677473303732,37.415562868118286
68,No Control,1000,0.7646339311596014,0.0006705743950525298,0.0007454652526853119,2.0,2.0,4.935907290304832,9.804842765240782,37.415562868118286
69,No Control,1000,0.2705584447051696,0.0002869933557527743,0.00020839762718983008,2.0,2.0,3.922762645496133,6.569293535658839,37.415562868118286
70,No Control,1000,0.20119388508439567,9.291951673378386e-05,0.0002829632908573681,2.0,2.0,3.9485098958492775,3.857964259104534,37.415562868118286
71,No Control,1000,0.6904515312014934,0.0009601958626405825,0.00034360856714308214,2.0,2.0,8.911821716801244,9.579675112545255,37.415562868118286
72,No Control,1000,0.21150648387617768,5.689912097834114e-05,0.00033176623764795144,2.0,2.0,4.132631702584972,6.37425049934241,37.415562868118286
73,No Control,1000,0.7402226285044589,0.0006346574180389974,0.0007376049670901723,2.0,2.0,9.659148751582926,2.5947147328166076,37.415562868118286
74,No Control,1000,0.7578650674931304,0.00047908680381269743,0.0009531046262654625,2.0,2.0,9.005864801409126,4.9231407139764185,37.415562868118286
75,No Control,1000,0.7836447416167343,0.0009479081402116531,0.0005194441428476577,2.0,2.0,5.3532274982566275,3.565764993918037,37.415562868118286
76,No Control,1000,0.6752901108196596,0.000894852054849245,0.0003749881287571335,2.0,2.0,8.02166476918094,7.758717857884497,37.415562868118286
77,No Control,1000,0.8761940499078227,0.0009714785863111834,0.000663996438079325,2.0,2.0,0.5014698308591742,8.099321919629324,37.415562868118286
78,No Control,1000,0.13872181468391118,9.195740698113383e-05,0.00015855236934319907,2.0,2.0,5.974183083923516,3.2975900881226,37.415562868118286
79,No Control,1000,0.5548651047039838,0.0005017488359236476,0.0005185074696649546,2.0,2.0,2.199316708574423,8.439319780438947,37.415562868118286
80,No Control,1000,0.2876463033975364,0.00012613590807490928,0.0004207301398007209,2.0,2.0,8.620239060286425,1.482229035344468,37.415562868118286
81,No Control,1000,0.5622631439124409,0.0006171251455905763,0.00042432909398126215,2.0,2.0,8.376851913616209,5.618498097014976,37.415562868118286
82,No Control,1000,0.8196622287663299,0.0008297457317463898,0.0006918567795224286,2.0,2.0,8.024660641535148,0.8269196321151271,37.415562868118286
83,No Control,1000,0.25795052196776547,2.160535055462062e-05,0.0003797560907789655,2.0,2.0,3.5836866819427575,3.021371661620821,37.415562868118286
84,No Control,1000,1.0349341282556284,0.0009743851210432165,0.0009510731570368299,2.0,2.0,8.464736321171678,1.5659767189830498,37.415562868118286
85,No Control,1000,0.4478053160903097,0.0007272128358413017,0.00012836866924881258,2.0,2.0,5.826977133969117,1.8342452547060706,37.415562868118286
86,No Control,1000,0.6524600992258065,0.00046470703890912936,0.0007582203980810954,2.0,2.0,4.278567384806779,6.114111540066255,37.415562868118286
87,No Control,1000,0.4036839044431984,0.0006944094181907596,8.178545922991957e-05,2.0,2.0,5.595685285924854,1.6098988011887898,37.415562868118286
88,No Control,1000,0.35708528440224707,0.00043423817100100913,0.0002276811142710584,2.0,2.0,7.155096741103239,7.415575623601867,37.415562868118286
89,No Control,1000,0.8538260660069837,0.0007429138364747665,0.0008425396548646906,2.0,2.0,0.5423546179274198,4.862057206014576,37.415562868118286
90,No Control,1000,0.7135578490681643,0.0007366693989240802,0.0005858781764486175,2.0,2.0,3.453912136800861,7.123125799649892,37.415562868118286
91,No Control,1000,0.371089913849308,0.0004913008017237313,0.00020149575954693928,2.0,2.0,5.2635883946279645,5.91244408765228,37.415562868118286
92,No Control,1000,0.09488461704003713,6.07593727338307e-05,9.600330126113378e-05,2.0,2.0,1.9310713545181502,9.607223258017063,37.415562868118286
93,No Control,1000,0.8210634936777417,0.0008653310647995728,0.0006616625967229186,2.0,2.0,7.194826331742685,9.082674668674386,37.415562868118286
94,No Control,1000,0.5459950159447747,0.0009748232311061189,8.414287443491911e-05,2.0,2.0,5.30059385252781,0.45587079655397017,37.415562868118286
95,No Control,1000,0.3998697730183891,3.498666699642718e-05,0.0007037068907453546,2.0,2.0,9.868180758505382,8.715473391204398,37.415562868118286
96,No Control,1000,0.8751905049600163,0.0007221677809362004,0.0009100191339902918,2.0,2.0,7.996174784860486,1.2217989502377793,37.415562868118286
97,No Control,1000,0.2216882403117413,7.153328382133333e-05,0.000343137223892681,2.0,2.0,8.295330040590542,3.54539390466934,37.415562868118286
98,No Control,1000,0.4814103424624509,9.623553360009788e-05,0.0008402739201148194,2.0,2.0,7.227212767287643,3.6831966151949342,37.415562868118286
99,No Control,1000,0.745956282471834,0.0006272990874455752,0.0007579245091151505,2.0,2.0,2.839821992382146,7.779186735887085,37.415562868118286
100,No Control,1000,0.3353657479254821,0.0004710189475221999,0.0001576976805601297,2.0,2.0,7.770390365305969,6.910268757915922,37.415562868118286
101,No Control,1000,0.27359695248334426,0.00032714126594265866,0.000177816228759661,2.0,2.0,9.975559504812072,1.495299047012097,37.415562868118286
102,No Control,1000,0.4516534317743721,0.00038442895646565844,0.00044650872011064963,2.0,2.0,0.9101175249129709,6.546244108207218,37.415562868118286
103,No Control,1000,0.2880808781102405,0.0005204618756044695,2.5216944386518406e-05,2.0,2.0,3.120755355191055,0.37346294288871773,37.415562868118286
104,No Control,1000,0.6198392614965089,0.0005021548056982337,0.0006487296585105027,2.0,2.0,5.925158325441747,3.6054256373282314,37.415562868118286
105,No Control,1000,0.301629381287294,0.0002492254076915203,0.00030439104409107844,2.0,2.0,5.690533280787333,8.75011843510342,37.415562868118286
106,No Control,1000,0.6941977008132016,0.000604390756014119,0.000679499969559033,2.0,2.0,9.45064584634623,9.086922960220786,37.415562868118286
107,No Control,1000,0.38323583191393185,0.0004993636580884585,0.0002154156165381457,2.0,2.0,7.041312405234417,8.164815089175598,37.415562868118286
108,No Control,1000,0.2982457131243573,0.0004909234918387686,7.678319488639017e-05,2.0,2.0,2.493476912261002,8.347818628891304,37.415562868118286
109,No Control,1000,0.5110697206197478,0.000738607706177278,0.0002265390481916199,2.0,2.0,0.6595308819418194,7.1680663080900215,37.415562868118286
110,No Control,1000,0.5220522445997122,0.00042982857827252583,0.0005356998352771771,2.0,2.0,8.616407140248505,8.40702289494812,37.415562868118286
111,No Control,1000,0.22813041771931808,0.00013341623623853725,8.077170213126569e-06,2.0,2.0,5.800157848466258,9.0688576671104,37.415562868118286
112,No Control,1000,0.7329539545210743,0.00039727778270269153,0.0009974230030796011,2.0,2.0,1.53593289236584,4.430704622561812,37.415562868118286
113,No Control,1000,0.7620258497306661,0.0006194384873582845,0.0007997913276550577,2.0,2.0,6.8646449677839865,9.127732725599927,37.415562868118286
114,No Control,1000,0.30487903232410135,0.0004114861238101959,0.00015737559886072394,2.0,2.0,8.68208226885762,3.0803969155216295,37.415562868118286
115,No Control,1000,0.579116732344662,0.0008712851868664892,0.00022824848113729197,2.0,2.0,3.253206749032538,8.65074573086621,37.415562868118286
116,No Control,1000,0.333635310753733,0.00010157442818863254,0.0005392291756223546,2.0,2.0,0.15919270164525853,9.903739027307328,37.415562868118286
117,No Control,1000,0.3164420875040341,0.0001862000693771631,0.000409445081241199,2.0,2.0,4.902758827335119,1.3340464553499727,37.415562868118286
118,No Control,1000,0.8261371433699592,0.0007273830623577896,0.0008044888169293285,2.0,2.0,2.61858319295658,5.555231573774625,37.415562868118286
119,No Control,1000,0.6344148477334738,0.0007184199348025258,0.00046093656253360483,2.0,2.0,4.1826735338814105,1.3207051112830714,37.415562868118286
120,No Control,1000,0.3994240675216137,0.0004941572111947882,0.0002481501379139531,2.0,2.0,3.7853514181953867,8.499165902052914,37.415562868118286
