,circuit,num_samples,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time
0,ur,10000,0.7346763503853834,0.0007201170743759278,0.000731341951658445,1.810760307081987,2.768411599371286,2.86833552576751,0.15720682654492776,69.76522421836853
1,ur,10000,0.3702039041962995,0.000230506630951628,0.00048224272183774737,1.5365093070307618,2.0129143935524807,9.075922371368701,2.3962695658019153,69.76522421836853
2,ur,10000,0.36233195242381144,0.00029930975338788495,0.00039492484558770245,3.6823175073532712,2.5019856979894204,9.251745453374957,2.097299755867736,69.76522421836853
3,ur,10000,0.5763851998507875,0.0009229227271120797,0.0003926936144750549,1.2513849328277549,2.544948491191879,1.5783953067565268,0.8236393733597102,69.76522421836853
4,ur,10000,0.32284353023224466,0.0003433037919491885,0.00029390314794479697,1.8045651191725616,3.7584484504430913,5.548157558512125,6.473234102235746,69.76522421836853
5,ur,10000,0.5728993579602967,0.0006604296150162935,0.0004567918499200004,3.6050173781377173,3.7212563532717726,7.788714339864033,0.20686481780011265,69.76522421836853
6,ur,10000,0.2893117661420226,0.0005503924597328062,0.00016965608651648236,1.2290398525564092,3.663974161049489,2.647152060755582,3.832048153420528,69.76522421836853
7,ur,10000,0.5416204858355049,0.0009592676110527511,0.00026338224860382594,1.1530332003367199,3.8162288436791956,3.2806505145013087,5.041739106830007,69.76522421836853
8,ur,10000,0.3885767660846041,0.0006133771195813777,0.0006049041760214728,3.073358011828894,3.2139188517595816,0.18758614364948323,4.182109360112668,69.76522421836853
9,ur,10000,0.20907802897434843,0.00020452931915267774,0.00020210801236081227,2.7223057567812896,3.189144482777463,6.3036171250957205,6.598681760778989,69.76522421836853
10,ur,10000,0.586219618217451,0.0004701397654497359,0.0006550784657417787,1.8173695694734988,3.165275667425115,9.932305277455173,2.8776856194096894,69.76522421836853
11,ur,10000,0.32621423011497913,9.825055424070772e-05,0.00043931721650485825,2.151896346040017,3.7598431572770483,0.10552296270683086,7.322305183175712,69.76522421836853
12,ur,10000,0.11006821083336858,0.0004314452664068531,8.970668983479921e-05,2.7725569207271703,2.507617141577326,1.317184902552876,1.2977310299881375,69.76522421836853
13,ur,10000,0.26026225568946865,0.00020142651893437428,0.000301620336757747,1.9647041527304698,2.734420338377286,6.730714659841779,6.480156033738397,69.76522421836853
14,ur,10000,0.7294726352898275,0.0004536737741839539,0.0009552646104747859,1.6033638769737597,1.0381873480339217,7.07326108992093,9.266711093240719,69.76522421836853
15,ur,10000,0.5427348361177916,0.0009916713624064796,0.00014191105002025453,3.74605145345289,1.458046951308169,5.005396344400695,2.156531473099794,69.76522421836853
16,ur,10000,0.24707411574904273,0.00015620088839483063,0.0003198876161963164,1.4160479793788485,1.2099170400920247,8.52893363760286,4.796917489307946,69.76522421836853
17,ur,10000,0.790209472369876,0.0008132841317030561,0.0007188657471186756,2.99091265342927,3.971925380594628,7.369279822248861,2.262079190690583,69.76522421836853
18,ur,10000,0.648778404401136,0.0009589120544930037,0.00037431153597119657,1.891323550414469,3.9785852180466303,2.880042041350208,8.681562698908724,69.76522421836853
19,ur,10000,0.8677068220375209,0.0009191155315849471,0.0007950109837958764,3.8354978303974376,3.458090903830451,2.908395651605064,8.025672471550534,69.76522421836853
20,ur,10000,0.9559472931524817,0.0009371105847147362,0.0009385782423456254,1.6760051277710746,2.386244211131441,3.602842292213526,4.160283887367815,69.76522421836853
21,ur,10000,0.24447155839426474,0.00084382193663658,8.23159680896821e-05,2.079356681354797,3.6931350153277234,2.508411790153283,9.459204639718369,69.76522421836853
22,ur,10000,0.6261000762467634,0.00047074891470610914,0.000787508739523126,3.0784789161684363,1.8934559478973791,0.9002994458713357,9.531360146761799,69.76522421836853
23,ur,10000,0.9206560256303105,0.0009053835789425814,0.0008818356958994579,3.250465744165641,2.3345540352673897,6.335048566851893,9.548871082187718,69.76522421836853
24,ur,10000,0.09974211432512471,0.00023275925701679516,5.6272696322260214e-05,3.840188913800154,3.6960898190096203,3.6854589392183557,1.7695367729984186,69.76522421836853
25,ur,10000,0.5355147658558779,0.00027431062349454565,0.000751351303807761,3.402218905137432,2.145381808835023,8.843967553387674,6.8790691480271695,69.76522421836853
26,ur,10000,0.33086597406862345,0.0003148538280857256,0.0003600069363994065,1.493853443714614,3.5565160404524128,2.5759044909918516,3.5721712173486573,69.76522421836853
27,ur,10000,0.6372604853820251,0.000508509017194065,0.0007422671026105601,3.792876926553558,2.552133770659914,2.810828972717945,9.970381289003173,69.76522421836853
28,ur,10000,0.31343179801414917,6.0161273278240554e-05,0.0005341387819460169,3.2125827038118633,1.3146716815837394,8.563379644472867,2.081822679995391,69.76522421836853
29,ur,10000,0.38794936656712864,7.426234435994617e-05,0.0006784158244626505,1.561291618811052,1.3374933419362787,1.2011945393670211,1.732694530328193,69.76522421836853
30,ur,10000,0.3549022204378236,0.00020704101543077912,0.00047273818973156406,2.490568412581995,1.3673221580843071,8.52153048910441,1.4469579502824796,69.76522421836853
31,ur,10000,0.41918835306776103,0.0004016273792389219,0.00041241064511484885,3.1850435352295925,3.8468471365075265,6.420685164342632,5.914420137400445,69.76522421836853
32,ur,10000,0.2521876462467855,0.00020904054015542236,0.00028118459920769965,2.504813883225782,1.9002914942267037,5.084600761114142,7.68505121031054,69.76522421836853
33,ur,10000,0.2606936735982083,0.0007279353067494897,0.00024679103842864845,3.1386231069089368,3.6374530457352017,0.5978673818331401,9.221466872665479,69.76522421836853
34,ur,10000,0.5502275495875415,0.0006660671416458793,0.00043908038064042733,3.693654357367714,1.67718629454377,2.229355042300681,2.6383979106042337,69.76522421836853
35,ur,10000,0.49289728981810604,0.0004211006413395316,0.000533296397861444,2.524124927844598,3.93738920002964,6.088017085353603,7.8558675010291905,69.76522421836853
36,ur,10000,0.5597134034137307,0.0003639498540989587,0.0007269898049123287,2.4040695741716003,3.354568285848068,3.48365536670196,8.505991252085066,69.76522421836853
37,ur,10000,0.7121222490464943,0.0003690470393816768,0.000999241627325715,2.6137350482742483,1.9318291420147005,8.675316950275713,5.971160524819737,69.76522421836853
38,ur,10000,0.7895050624388604,0.0006190736368843944,0.000932679779269344,3.936503361145365,2.9943588608813423,2.475698357298112,0.7941036691345807,69.76522421836853
39,ur,10000,0.6843098135003207,0.0006056188690365906,0.0007171528416850521,3.3671452482124202,1.5846122475445776,6.695038292703798,0.26484078774014136,69.76522421836853
40,ur,10000,0.3401284931766688,0.00025952653876479677,0.00044311192743832605,1.2472080078250323,3.6179409078338365,1.723216314985254,1.1899996786203986,69.76522421836853
