,circuit,num_samples,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time
0,Dual Control,100,0.15969410254225114,0.00021032448700041218,0.0005576681795921464,2.0,2.0,6.773349627155946,4.363265233290402,3.9940459728240967
1,Dual Control,100,0.3350229129834601,0.0005554615701103295,0.0006243016369099859,2.0,2.0,7.126185501853914,4.076630523551571,3.9940459728240967
2,Dual Control,100,0.4676812657454391,0.000889715327925844,0.0006376515405714687,2.0,2.0,7.062647981477167,5.808186176911464,3.9940459728240967
3,Dual Control,100,0.13517330084084073,8.392355950244034e-05,0.0007358681789907541,2.0,2.0,5.370558904774789,2.0618394160607605,3.9940459728240967
4,Dual Control,100,0.3114847932421,0.0007573384153554037,0.0005630752871858384,2.0,2.0,0.13393907901662852,8.143383507991253,3.9940459728240967
5,Dual Control,100,0.20578388205596998,0.000887278579651953,0.00027303184926297176,2.0,2.0,2.0673698930732956,4.4372349125989725,3.9940459728240967
6,Dual Control,100,0.5085477652260304,0.0009182449987482829,0.000987415998097754,2.0,2.0,8.886022527267787,7.185095278534338,3.9940459728240967
7,Dual Control,100,0.1775462841877484,0.0009929005765903283,0.0006183417770730843,2.0,2.0,0.6935011574353165,2.6241034243949377,3.9940459728240967
8,Dual Control,100,0.15498019851298697,0.00035125503435834226,0.0006670239251869919,2.0,2.0,2.510032475882068,5.576547934894657,3.9940459728240967
9,Dual Control,100,0.20115237265465213,0.00029716077182079514,0.0006414835094831144,2.0,2.0,8.234316509985701,5.531458639166409,3.9940459728240967
10,Dual Control,100,0.43182304081596307,0.0005111472694272041,0.000996884640181125,2.0,2.0,3.0986460856061715,0.8044732876008859,3.9940459728240967
11,Dual Control,100,0.23470595372116232,0.0008298937349337188,0.0004901878439547527,2.0,2.0,1.7094907838691267,3.9921059947586204,3.9940459728240967
12,Dual Control,100,0.31756123046923995,0.0006373177866221776,0.0005511394597390985,2.0,2.0,7.34894525368855,8.70566253852478,3.9940459728240967
13,Dual Control,100,0.09912455885623331,0.00014761274607970443,0.00028099038498758316,2.0,2.0,5.4069955019634985,5.688648290074904,3.9940459728240967
14,Dual Control,100,0.16818025189215752,0.0007920872514621546,0.0002801954583400233,2.0,2.0,0.3596318120081714,9.115025266981744,3.9940459728240967
15,Dual Control,100,0.43869292645816294,0.0006744818483048434,0.00022095406244562992,2.0,2.0,7.291019918505601,0.19733761755924964,3.9940459728240967
16,Dual Control,100,0.10366412047262157,2.6951090482682907e-05,0.00029534386757345204,2.0,2.0,9.665262015207071,2.5080268452659698,3.9940459728240967
17,Dual Control,100,0.09916301144432574,0.00032079058126375273,0.0009921669676507588,2.0,2.0,1.7242474553835585,9.014057004773454,3.9940459728240967
18,Dual Control,100,0.20827485174576407,0.0007430405055952377,0.00021807377269027602,2.0,2.0,4.860129948697353,9.616522680912711,3.9940459728240967
19,Dual Control,100,0.07352709477846259,7.916823701496153e-05,0.0003027455917058364,2.0,2.0,5.701392669422299,8.281315859662987,3.9940459728240967
20,Dual Control,100,0.29281335119425306,0.0007831401004303288,0.0006077500120819382,2.0,2.0,3.1922241087633467,6.5303818132786375,3.9940459728240967
21,Dual Control,100,0.43121640734079014,0.0008437120420066793,0.0007861079015197474,2.0,2.0,5.125511568937647,5.633663383304825,3.9940459728240967
22,Dual Control,100,0.2160546863171803,0.0008974840979193426,4.530552231787724e-05,2.0,2.0,9.305086787874863,6.5383699577590075,3.9940459728240967
23,Dual Control,100,0.20870327210584344,3.024713398276911e-05,4.881382747968785e-05,2.0,2.0,2.3299105622684397,4.406892372889371,3.9940459728240967
24,Dual Control,100,0.28207307020749006,0.0003033370502430182,0.0007737095821311133,2.0,2.0,3.1831411957299562,1.09739928503255,3.9940459728240967
25,Dual Control,100,0.09414681888049044,0.00012399458460999707,0.0003195413751875048,2.0,2.0,5.392970268851337,5.64124763035745,3.9940459728240967
26,Dual Control,100,0.12109579033960058,8.488240985156757e-05,0.000864708301176726,2.0,2.0,5.656864785378109,3.155274321131422,3.9940459728240967
27,Dual Control,100,0.5273491294922135,0.0009042913982684501,0.0008628405586403315,2.0,2.0,9.933650483933032,4.671263659833482,3.9940459728240967
28,Dual Control,100,0.10002991653015708,0.0006533115209530391,0.000686250368672147,2.0,2.0,0.49947972201235014,9.53876897372489,3.9940459728240967
29,Dual Control,100,0.17689510745080242,0.0004692273607059715,0.0008669105360202038,2.0,2.0,3.101038132864265,9.258961906737008,3.9940459728240967
30,Dual Control,100,0.3997635581410937,0.0007223844577919378,0.0003896474665469914,2.0,2.0,5.496290657989784,2.607267134839907,3.9940459728240967
31,Dual Control,100,0.28846707226349955,0.0003126964224061484,0.0005910264715893401,2.0,2.0,1.6928519182975437,0.6595121440362726,3.9940459728240967
32,Dual Control,100,0.30800075846890274,0.0009886818291708502,0.0008434407704690228,2.0,2.0,1.1650590928200544,2.8369353650977875,3.9940459728240967
33,Dual Control,100,0.214894606682145,0.0004006685568425864,0.000806242643411022,2.0,2.0,5.22109109641822,7.936147411751945,3.9940459728240967
34,Dual Control,100,0.19244349065121832,0.0002938165301455358,0.00012136725637277631,2.0,2.0,7.682770025098865,0.7972232128169796,3.9940459728240967
35,Dual Control,100,0.4123745937347958,0.000881289664630214,0.0002721056673898075,2.0,2.0,4.290605092004495,2.724320142364918,3.9940459728240967
36,Dual Control,100,0.24419840688007857,0.0008571470238109205,0.0002526257841887511,2.0,2.0,0.9248599194585652,0.9316848740599286,3.9940459728240967
37,Dual Control,100,0.38992925278239376,0.000701197413767913,0.000552626809675495,2.0,2.0,8.512641829109983,5.493402923252843,3.9940459728240967
38,Dual Control,100,0.1644657517420059,0.0005179009857972837,0.0002035270047190062,2.0,2.0,4.353675714414594,7.237454784508076,3.9940459728240967
39,Dual Control,100,0.2011395906459781,0.00031428543652718373,0.0005075436177627206,2.0,2.0,9.84372868030557,6.460868935400098,3.9940459728240967
40,Dual Control,100,0.28190907723729414,0.0009554950629824859,0.0003950618327788608,2.0,2.0,3.986776148832833,9.543813039485302,3.9940459728240967
41,Dual Control,100,0.11676809964803667,0.0007083953558107201,0.0005030487445160456,2.0,2.0,0.7764679375902206,3.6328694451818513,3.9940459728240967
42,Dual Control,100,0.2993183668395843,0.0007356480707792556,0.0002973411655339031,2.0,2.0,6.276620908513053,8.241798244938321,3.9940459728240967
43,Dual Control,100,0.23913599214088085,0.0006653380983329728,0.00010053150094813287,2.0,2.0,6.438070082959226,4.7525937482305745,3.9940459728240967
44,Dual Control,100,0.13021639150609718,0.0009417292703808966,1.431747044760258e-05,2.0,2.0,2.6446173987329935,5.574520845678391,3.9940459728240967
45,Dual Control,100,0.15678827120620104,0.00022795868738928512,0.0007562054734678702,2.0,2.0,6.446934661358488,6.711265362040331,3.9940459728240967
46,Dual Control,100,0.16727003066779822,0.0003171332573559444,0.0005184915893077074,2.0,2.0,1.998481192043538,2.8987464825160307,3.9940459728240967
47,Dual Control,100,0.26705087716073556,0.0008068347341578872,0.0006153932785821482,2.0,2.0,2.779085470934101,6.79024879148033,3.9940459728240967
48,Dual Control,100,0.6359523698714549,0.0007312445985194727,0.000796741365239271,2.0,2.0,3.0437077676882494,0.2559177170877137,3.9940459728240967
49,Dual Control,100,0.12857388262564945,0.0002121720918377526,0.0006691308376318684,2.0,2.0,6.053095794282554,9.456895049958504,3.9940459728240967
50,Dual Control,100,0.1410471118050748,0.00018945557978385552,0.0008201720294509778,2.0,2.0,5.2323289483086075,5.897042578866565,3.9940459728240967
51,Dual Control,100,0.5693828880544983,0.0008782245141785148,0.0009542720350546235,2.0,2.0,7.366437374224424,1.7508537263914148,3.9940459728240967
52,Dual Control,100,0.4502458004144524,0.0009157007704431049,0.0006039582692429154,2.0,2.0,7.030943182487353,7.6451925284486055,3.9940459728240967
53,Dual Control,100,0.2960063546655484,0.0006274150775974906,0.00023495593710770273,2.0,2.0,6.797607354461976,5.133117990115629,3.9940459728240967
54,Dual Control,100,0.21340611836023837,0.0007847326499352576,7.464049982173202e-06,2.0,2.0,6.239589722863098,2.39981337860269,3.9940459728240967
55,Dual Control,100,0.11706195800094252,0.0003881444342523593,0.00022495037369969325,2.0,2.0,4.223767297327678,9.188465414682508,3.9940459728240967
56,Dual Control,100,0.5307445337493572,0.0009358138903918849,0.000392451243866392,2.0,2.0,5.119238170052663,1.4928704041886547,3.9940459728240967
57,Dual Control,100,0.2312453600823105,0.00043039636217659925,0.000555202828092988,2.0,2.0,8.154036098717338,9.397437391288896,3.9940459728240967
58,Dual Control,100,0.44204376932460804,0.0007605193550233767,0.0006930988637298841,2.0,2.0,8.109193212814496,4.257535989057392,3.9940459728240967
59,Dual Control,100,0.3572757539593279,0.0008251396672303102,0.0002943561565900825,2.0,2.0,7.653530527836528,8.546046451649978,3.9940459728240967
60,Dual Control,100,0.11375858093265379,3.435810178369664e-05,0.0006596727749733863,2.0,2.0,6.2318180889587245,2.4751088844661635,3.9940459728240967
61,Dual Control,100,0.47128786563391556,0.0009784546363259211,0.0008781149202465334,2.0,2.0,5.041641146199946,6.941176835094022,3.9940459728240967
62,Dual Control,100,0.07105771726796063,8.015642514677282e-05,0.0002456000904741828,2.0,2.0,5.410204088662795,8.670939015400082,3.9940459728240967
63,Dual Control,100,0.38285724186075526,0.0006756841769003418,0.00041736372500440256,2.0,2.0,7.22283905671008,3.342756598639765,3.9940459728240967
64,Dual Control,100,0.3290443569366057,0.0006210726822851655,0.00020438112595998396,2.0,2.0,4.025654887016817,1.333004482264709,3.9940459728240967
65,Dual Control,100,0.24320780365511074,0.0006205504489642579,0.00024128126095325145,2.0,2.0,6.304202711389877,8.274560223130536,3.9940459728240967
66,Dual Control,100,0.07341139656357851,0.0006794382901435066,0.00011950217415311483,2.0,2.0,1.4961408011278927,5.807529711256511,3.9940459728240967
67,Dual Control,100,0.4983782742037366,0.0003249124858050826,0.0003417473497463311,2.0,2.0,0.002541891883607687,3.1799209650416613,3.9940459728240967
68,Dual Control,100,0.07452191376247944,0.0001392961594534508,0.0003590788254548641,2.0,2.0,2.455252823743991,8.611466571942744,3.9940459728240967
69,Dual Control,100,0.21387765611428278,0.0003481680474507717,0.0006082310399808162,2.0,2.0,4.01915325434865,3.813979385876455,3.9940459728240967
70,Dual Control,100,0.14837548041641827,9.329981950534694e-05,0.0007304489428536999,2.0,2.0,3.3063991821215093,1.6446834288742933,3.9940459728240967
71,Dual Control,100,0.31428031102461007,0.00043501780009637603,0.0004884685049608221,2.0,2.0,0.2044285704801296,9.603949110527196,3.9940459728240967
72,Dual Control,100,0.11528042707373977,0.0003239960696547102,0.0005752710174897274,2.0,2.0,2.0932737886738404,6.395995712416757,3.9940459728240967
73,Dual Control,100,0.306940896852873,0.0005820598650264502,0.0005659649357242484,2.0,2.0,0.17812612420277998,9.932570315708361,3.9940459728240967
74,Dual Control,100,0.4886266220692256,2.432360436602423e-07,9.412101666654537e-05,2.0,2.0,5.394501015835349,6.783291863844591,3.9940459728240967
75,Dual Control,100,0.36289452123314847,0.0006232217373652384,0.0003317026250886777,2.0,2.0,7.722897935077815,2.5387146230072197,3.9940459728240967
76,Dual Control,100,0.3493057633707454,0.0008421866206715717,0.00022381519169742222,2.0,2.0,3.0916955003589597,2.2106351217730533,3.9940459728240967
77,Dual Control,100,0.09247337370402818,0.00020864837530746094,0.0006836839059332833,2.0,2.0,1.7565212537219599,6.430551637522074,3.9940459728240967
78,Dual Control,100,0.17828666889661637,0.0008261980182390425,0.00074435879410425,2.0,2.0,2.0368413716602825,9.184338028538834,3.9940459728240967
79,Dual Control,100,0.27331264931682475,0.00048201227225555944,0.0009561586743657561,2.0,2.0,5.6157148135901425,6.896003793537136,3.9940459728240967
80,Dual Control,100,0.15708575279082737,7.694635031947119e-05,0.0005638658155056288,2.0,2.0,3.5794168155965127,1.033515196345805,3.9940459728240967
81,Dual Control,100,0.1497559296365035,0.0002435426271327649,0.0006240403612088755,2.0,2.0,3.5812286533795024,4.9211273717244435,3.9940459728240967
82,Dual Control,100,0.2539741620845959,0.0004631428182005447,0.00016275584869161286,2.0,2.0,7.24322657787722,2.3101959444297777,3.9940459728240967
83,Dual Control,100,0.4141752910998285,0.0008893559922425,0.00030486707429206356,2.0,2.0,8.298779885822427,7.226480707308638,3.9940459728240967
84,Dual Control,100,0.12847245096572343,0.00023590826174434734,0.0006372887802582047,2.0,2.0,4.04538782822873,7.598396649585914,3.9940459728240967
85,Dual Control,100,0.08832437622075684,7.436892154999327e-05,0.0007248918955474263,2.0,2.0,8.622135688008377,7.2274673798228495,3.9940459728240967
86,Dual Control,100,0.38884000635167215,0.0005929728778086443,0.0007311113662903067,2.0,2.0,7.682525433831417,2.569659570120114,3.9940459728240967
87,Dual Control,100,0.3070680639089333,0.0006556153949723012,0.00023232651507135027,2.0,2.0,9.175862701927025,7.467382824242718,3.9940459728240967
88,Dual Control,100,0.45643145736192464,0.0007810998343525219,0.00017677490025204534,2.0,2.0,8.2227508531622,0.45415064507264397,3.9940459728240967
89,Dual Control,100,0.20461516287755205,0.0008890419091821515,0.0002065820668117722,2.0,2.0,3.542434417574067,7.663159625729955,3.9940459728240967
90,Dual Control,100,0.43562196417884724,0.0007976593916620713,0.0007343900476209556,2.0,2.0,7.059252691230992,5.677946742851926,3.9940459728240967
91,Dual Control,100,0.21818783417626722,0.0005370669848444291,0.0006728547107706075,2.0,2.0,3.3390014649349,7.19719895846352,3.9940459728240967
92,Dual Control,100,0.10206474119277208,0.00023929811820454423,0.00019266164497273123,2.0,2.0,3.7900626096690218,5.434617694179711,3.9940459728240967
93,Dual Control,100,0.2388252844044465,0.0006274005205222602,0.00046164281392087184,2.0,2.0,1.2562006350473272,1.842439522853096,3.9940459728240967
94,Dual Control,100,0.27749690945977135,0.000818693904739418,0.0007986843298657436,2.0,2.0,1.993597101675485,5.011258242121517,3.9940459728240967
95,Dual Control,100,0.15830849547387874,8.870682717083663e-05,0.000730505574547893,2.0,2.0,2.6414300874961656,1.3080175919131594,3.9940459728240967
96,Dual Control,100,0.09507171778436052,0.0005030843587626697,0.0002502303096416621,2.0,2.0,2.123596064158725,7.383349672185731,3.9940459728240967
97,Dual Control,100,0.07987211462378133,0.0004381205060221335,0.0001158799438918451,2.0,2.0,1.7249772344808063,4.150907821229109,3.9940459728240967
98,Dual Control,100,0.08999238157912005,0.00013806001962803858,0.00015133471725597,2.0,2.0,4.994382166691348,4.093752961205001,3.9940459728240967
99,Dual Control,100,0.2659968472121305,0.0005202905080544059,0.00012380978884230355,2.0,2.0,5.968615170440321,1.5574643936550285,3.9940459728240967
