,index,Circuit,Loss,k1,k2,theta1,theta2,best_losses,best_loss_circuit
0,0,No Control,0.5611723403971189,0.00021343812576209799,0.000867511468577585,8.036344433626681,0.2204497858620544,0.5611723403971189,No Control
1,1,No Control,0.5897398136003743,0.0005272909587693311,0.0005585563220202366,0.3593286307749269,3.7021454706234063,0.5611723403971189,No Control
2,2,No Control,0.23594998032899547,0.0004041589479772487,4.2862885134398655e-05,2.406383595600266,4.801445502966602,0.23594998032899547,No Control
3,3,Upstream Repression,0.19316430455090705,1.5113601161805082e-05,0.0001891737527840363,3.8940177792386677,6.270506473308686,0.19316430455090705,Upstream Repression
4,4,Upstream Repression,0.45000408964636923,0.0005539978351422197,0.0003954324918872834,1.4986758023809843,5.20942922092909,0.19316430455090705,Upstream Repression
5,5,Downstream Activation,0.12934504378114614,0.00011771750665557536,0.0004957869238499084,5.710895722932685,3.2334336573485385,0.12934504378114614,Downstream Activation
6,6,Downstream Activation,0.39509340955158484,0.0006422062999389563,0.00014051249794790093,0.6350363914957616,1.120614315211343,0.12934504378114614,Downstream Activation
7,7,Dual Control,0.34999584791418226,0.0007577352881365737,0.00046714527252551645,3.466271937498474,3.7245571444293644,0.12934504378114614,Downstream Activation
8,8,Upstream Repression,0.4153865210309779,0.00015732867712094363,0.0006532789887709311,2.950160096851601,6.931934965850383,0.12934504378114614,Downstream Activation
9,9,Upstream Repression,0.48479876136648226,0.0008948032590447298,0.00012285814242009473,9.670481124740839,1.3226377580773319,0.12934504378114614,Downstream Activation
10,10,Dual Control,0.40555791140916536,0.0007095701397860516,0.0008699429269511239,8.332032651552979,6.413079448835161,0.12934504378114614,Downstream Activation
11,11,Downstream Activation,0.5107514103511878,0.0008857222731815473,0.0002581415851369728,2.2004906052299757,5.532217193231405,0.12934504378114614,Downstream Activation
12,12,Dual Control,0.10052449420406587,0.0009676657797675291,0.0007288780810045389,0.8483814335731519,7.246629998171688,0.10052449420406587,Dual Control
