,circuit,loss,theta_paf_prom1,theta_paf_prom2,theta_paf_prom3,theta_paca_prom1,theta_paca_prom2,theta_paca_prom3,k_paf_papA,k_paf_papB,k_paf_papC,k_paf_prom2,k_paf_prom3,k_paca_papA,k_paca_papB,k_paca_papC,k_paca_prom2,k_paca_prom3,best_losses,best_loss_circuit
0,"((0, 0, 0, 0, 1), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))",0.23015547553339288,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.23015547553339288,"((0, 0, 0, 0, 1), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))"
1,"((0, 0, 0, 1, 0), (1, 0, 0, 0, 0), (0, 0, 0, 0, 1))",0.23198201254523787,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.23015547553339288,"((0, 0, 0, 0, 1), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))"
2,"((0, 0, 1, 0, 0), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))",0.0880387660647671,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0880387660647671,"((0, 0, 1, 0, 0), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))"
3,"((0, 0, 0, 1, 0), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))",0.24685918101619672,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0880387660647671,"((0, 0, 1, 0, 0), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))"
4,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))",0.0527287776177277,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
5,"((0, 0, 0, 1, 0), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))",0.1565806762477537,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
6,"((0, 0, 1, 0, 0), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))",0.20140184432030278,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
7,"((0, 0, 1, 0, 0), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))",0.15552220855698137,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
8,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))",0.22769498986046796,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
9,"((0, 0, 0, 1, 0), (0, 0, 0, 1, 0), (1, 0, 0, 0, 0))",0.11547567939768505,4.488934363342975,6.7395217596649015,1.008831075165828,5.049758323145309,4.6681039375848865,4.840910485690797,1.9250531936242175,3.5427240629266317,0.8518093849981064,3.662676150630231,3.321519168894491,1.3844571056122017,3.2217549656180355,1.334574297152298,3.323951734120824,3.493945532099504,0.0527287776177277,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (1, 0, 0, 0, 0))"
