,Method,Computational Time,Best Loss,Function Evaluations,Message
0,Gradient-Based,4.687743902206421,0.08329176075681403,130.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.535445928573608,0.07443610959863053,270.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.6786580085754395,0.3861239251300191,40.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.7998862266540527,0.1635590108893265,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.945762872695923,0.08448874590118723,275.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.626753091812134,0.08085600671516034,190.0,Linear search failed
0,Gradient-Based,8.177793979644775,0.08705816082103167,225.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,13.239781141281128,0.0698989942418642,370.0,Linear search failed
0,Gradient-Based,1.178389072418213,0.1190178092594987,30.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.7845609188079834,0.21581274359529504,45.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.3771471977233887,0.5143007866882598,55.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,4.863940000534058,0.069951486529625,130.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,2.7707998752593994,0.13153743543786933,80.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.3094282150268555,0.3944918257455422,30.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.8046178817749023,0.1452276741621483,70.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.3463568687438965,0.2710527499165431,55.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.8190150260925293,0.2126223962652402,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.788023710250854,0.06897078178496502,315.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.301025152206421,0.07546501313964113,175.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.90853214263916,0.08002982211943854,265.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.156846046447754,0.07026631949472727,115.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.026227235794067,0.07450341532238139,105.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,19.537802934646606,0.462431318701099,400.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.334920167922974,0.10065533867295358,215.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,14.916647911071777,0.06516174567117526,455.0,Linear search failed
0,Gradient-Based,0.7544410228729248,0.0754003107715684,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.109172821044922,0.10872269775013774,85.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.814450025558472,0.10920550703193194,185.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.07928204536438,0.06788781657347459,205.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.104611873626709,0.07043436537345432,210.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.490003108978271,0.10665446215349267,205.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.4775118827819824,0.08596162038844607,65.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,13.890161275863647,0.07917609720702067,390.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.9156389236450195,0.07755032652852217,105.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.997948169708252,0.07551474633287611,175.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,0.6628298759460449,0.06679555469616955,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.6488330364227295,0.12746834206237356,65.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,4.91600227355957,0.06651811707665845,140.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,14.799539804458618,0.08386504184998925,390.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.122713088989258,0.0912455651106431,175.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.978021860122681,0.08137469898651033,195.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,12.948909044265747,0.06668626720203719,385.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.815213918685913,0.07516873129975624,215.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.04920506477356,0.07084580365859555,140.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.662466049194336,0.2324256685232799,160.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,4.695143938064575,0.09165151708593912,135.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.056846857070923,0.07051746057931771,275.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.961337089538574,0.11577196707317777,85.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.4501969814300537,0.48850750571605467,65.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.062807083129883,0.07184252788504109,60.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.874025821685791,0.12703636464454895,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.1638860702514648,0.43895421003391466,25.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,17.106982946395874,0.07052904039510383,505.0,Max. number of function evaluations reached
0,Gradient-Based,8.911586046218872,0.06999567752819562,320.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.248540878295898,0.44248973065407254,140.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.929734230041504,0.07148668020253197,135.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.747904062271118,0.07148024150468138,220.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.47361421585083,0.07059545642492443,75.0,Converged (|f_n-f_(n-1)| ~= 0)
