,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,Best_Loss_Circuit
0,"((0, 0, 1), (1, 0, 0))",91564592.46431331,2.5014936710502824,4.2146187498249015,8.740679923758254,7.7188744972315,Downstream Activation,1000.0,Initial
1,"((0, 1, 0), (1, 0, 0))",1408735.9619083896,1.6075634298176527,4.167226765401508,1.3509974035954848,8.192551647649093,Dual Control,1000.0,Initial
2,"((0, 1, 0), (1, 0, 0))",3243474.2936449894,2.793532385338021,3.0573896508336706,0.6429510730691657,1.50708475517877,Dual Control,1000.0,Initial
3,"((0, 1, 0), (1, 0, 0))",49267241.70150363,2.293884815538529,3.70329904298637,6.86835590353136,3.3209495467674865,Dual Control,1000.0,Initial
4,"((0, 0, 1), (1, 0, 0))",6695996.089599782,0.6764935030638985,1.524822647040659,5.4346920953083,8.567700347673798,Downstream Activation,1000.0,Initial
5,"((0, 0, 1), (0, 0, 1))",287632417.3604332,4.433479066921543,2.090605017208127,0.33423787163011015,6.204092248730878,No Control,1000.0,Initial
6,"((0, 1, 0), (1, 0, 0))",33381109.798828952,3.652352098090104,1.8097930852486586,5.19144512682842,7.295561458796828,Dual Control,1000.0,Initial
7,"((0, 1, 0), (0, 0, 1))",42973616.07526079,2.0390493361115065,2.196559034371536,6.68958132776401,7.067824352877839,Upstream Repression,1000.0,Initial
8,"((0, 1, 0), (0, 0, 1))",10883436.256906157,3.4746540966493025,2.6219236324397155,0.8277986302930143,3.531258341521663,Upstream Repression,1000.0,Initial
9,"((0, 1, 0), (0, 0, 1))",3350027.9644054393,0.8308725168071882,0.3413669542278251,5.418706362269059,7.408323333949352,Upstream Repression,1000.0,Initial
10,"((0, 0, 1), (1, 0, 0))",475192.41522111115,0.1802445463522797,1.7324668573760102,4.9318995202277724,3.8390646397609753,Downstream Activation,1000.0,Initial
11,"((0, 0, 1), (0, 0, 1))",10178887.889375325,0.8340111565154286,3.0750940179793287,8.926117594878454,8.462335676311264,No Control,1000.0,Initial
12,"((0, 1, 0), (0, 0, 1))",231121181.03400296,4.850233190595055,3.544830515874142,8.288327366727376,2.328721677785899,Upstream Repression,1000.0,Initial
13,"((0, 0, 1), (1, 0, 0))",283178066.46423,4.39902887919819,4.986299846696682,1.3433730294139723,1.4117676726079362,Downstream Activation,1000.0,Initial
14,"((0, 0, 1), (0, 0, 1))",88708.861165047,0.07692187424646116,4.588510746204922,6.596494638969257,8.154434852953731,No Control,1000.0,Initial
15,"((0, 0, 1), (1, 0, 0))",305199562.44766724,4.566779176052974,3.5395536616064383,4.289539325379551,0.5885294942874686,Downstream Activation,1000.0,Initial
16,"((0, 1, 0), (0, 0, 1))",5548272.663731914,4.6756886494272925,0.3523643865047124,2.1613705518522752,9.917904249434553,Upstream Repression,1000.0,Initial
17,"((0, 1, 0), (1, 0, 0))",23611363.578559034,2.4067094974260237,1.751827809265745,5.044943873184537,4.764278018617759,Dual Control,1000.0,Initial
