,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,Best_Loss_Circuit
0,"((0, 0, 1), (0, 0, 1))",25989393.58474738,1.3326567554567874,3.9838805147721637,3.708150630336022,8.153917868427943,No Control,1000.0,Initial
1,"((0, 1, 0), (1, 0, 0))",1131723.2010512098,2.613584225623695,0.5378726972575704,1.7812350708392568,7.4578666488625025,Dual Control,1000.0,Initial
2,"((0, 0, 1), (1, 0, 0))",125206006.46920776,2.925073861993466,2.5761463518931444,1.5417225250997362,3.331436173418438,Downstream Activation,1000.0,Initial
3,"((0, 0, 1), (1, 0, 0))",106157030.58657593,2.693411931459651,1.5170961384428137,5.9559616212118955,9.982173050826205,Downstream Activation,1000.0,Initial
4,"((0, 0, 1), (0, 0, 1))",5107643.494689031,0.5907951187209108,2.1940998956584767,3.635529223521583,5.623613302175445,No Control,1000.0,Initial
5,"((0, 0, 1), (1, 0, 0))",11801642.906094104,0.8980933903247015,1.2727092757645573,4.884749167898242,4.18992152137078,Downstream Activation,1000.0,Initial
6,"((0, 1, 0), (1, 0, 0))",121639112.9683665,3.875688159287295,2.870009446785457,8.606671838359267,3.7358002615266783,Dual Control,1000.0,Initial
7,"((0, 1, 0), (0, 0, 1))",19716653.070872918,3.155175064014095,3.870647237318661,1.0169871917767883,5.200919846667679,Upstream Repression,1000.0,Initial
8,"((0, 0, 1), (1, 0, 0))",292423587.74941146,4.470211290489662,1.090920216331458,6.467611896368163,5.124967148105954,Downstream Activation,1000.0,Initial
9,"((0, 1, 0), (1, 0, 0))",19826562.65419715,3.1032578973282505,1.3764892495698922,5.402726606622889,9.185814345694306,Dual Control,1000.0,Initial
10,"((0, 1, 0), (1, 0, 0))",15797889.912123475,2.3947588024951414,0.3796346712215048,9.690920138568975,7.4253189579917525,Dual Control,1000.0,Initial
11,"((0, 0, 1), (0, 0, 1))",13456009.0687226,0.9588962261824576,4.888807978794072,1.81144219929485,7.627288012484723,No Control,1000.0,Initial
12,"((0, 0, 1), (1, 0, 0))",139353066.8146212,3.085906945654841,2.449598563411837,9.711922434483757,6.046785529947671,Downstream Activation,1000.0,Initial
13,"((0, 1, 0), (1, 0, 0))",7364843.989371422,2.6087242431827367,3.3745457929279716,2.453546893382694,8.558461947623588,Dual Control,1000.0,Initial
14,"((0, 1, 0), (1, 0, 0))",11077288.70234165,1.5735473707983447,2.5565629962986436,2.459506446486746,1.750372564475956,Dual Control,1000.0,Initial
15,"((0, 1, 0), (0, 0, 1))",24028479.773645956,2.3621752761850576,1.4843457541449394,3.4411614303224742,9.487311483239528,Upstream Repression,1000.0,Initial
16,"((0, 0, 1), (0, 0, 1))",123253420.27087665,2.9021684509482966,4.599828523181133,5.481390165169625,2.1642903252037673,No Control,1000.0,Initial
17,"((0, 1, 0), (1, 0, 0))",34832345.54667161,1.838069877922208,4.5016761373415015,9.526758843408015,6.674402833039104,Dual Control,1000.0,Initial
18,"((0, 1, 0), (0, 0, 1))",25562134.318117205,1.6799659855073545,2.241191687297612,4.47134570929486,1.7974161216443576,Upstream Repression,1000.0,Initial
19,"((0, 0, 1), (0, 0, 1))",295478027.578426,4.493495088463119,2.9033391429044775,2.232724556099182,0.5114877550444977,No Control,1000.0,Initial
20,"((0, 0, 1), (0, 0, 1))",65102.952633886096,0.06678130335965027,0.018868117569586396,9.80140102047925,4.328484107048433,No Control,1000.0,Initial
21,"((0, 0, 1), (0, 0, 1))",117544700.6571995,2.8341682768783603,0.24997303895161815,9.70551843534674,3.2881601435698133,No Control,1000.0,Initial
22,"((0, 1, 0), (1, 0, 0))",13117.791797916942,0.07973997976180813,0.229715331177402,0.5181914516394048,0.13767412997178674,Dual Control,1000.0,Initial
23,"((0, 0, 1), (0, 0, 1))",24824.88716124826,0.04121214215424259,0.13198955344316038,9.44823724947422,5.107396609772003,No Control,1000.0,Initial
24,"((0, 0, 1), (0, 0, 1))",340604922.48507965,4.8244489067278025,1.168729660880981,6.763817133679744,9.702813468653297,No Control,1000.0,Initial
