,Method,Computational Time,Best Loss,Function Evaluations
0,Gradient-Based,6.098586797714233,2447.2555674028163,110.0
0,Gradient-Based,6.328541040420532,3381.597289465942,115.0
0,Gradient-Based,16.846938133239746,6382.081725676745,275.0
0,Gradient-Based,0.7271580696105957,10000000.0,10.0
0,Gradient-Based,0.2697410583496094,10000000.0,5.0
0,Gradient-Based,10.472271919250488,5456.455374665146,165.0
0,Gradient-Based,6.033313989639282,725.7770056228369,100.0
0,Gradient-Based,3.7891318798065186,2997.03551904883,75.0
0,Gradient-Based,22.471112966537476,2801.0766210341117,395.0
0,Gradient-Based,4.4358930587768555,892.5319257154866,75.0
0,Gradient-Based,15.946426153182983,6753.485533111016,275.0
0,Gradient-Based,2.0529868602752686,2385.0009340100914,35.0
0,Gradient-Based,10.386094093322754,631.9733785813404,250.0
0,Gradient-Based,3.850778102874756,3312.8741554141966,75.0
0,Gradient-Based,8.533561944961548,8257.804651956165,155.0
0,Gradient-Based,0.2441549301147461,10000000.0,5.0
0,Gradient-Based,1.019232988357544,5113.857783438366,20.0
0,Gradient-Based,0.5001170635223389,8084.547205629518,10.0
0,Gradient-Based,9.51232385635376,1064.190223206915,160.0
0,Gradient-Based,0.5584478378295898,10000000.0,10.0
0,Gradient-Based,0.20929789543151855,10000000.0,5.0
0,Gradient-Based,7.027358293533325,6439.165531275799,140.0
0,Gradient-Based,4.0003650188446045,8098.425285946702,65.0
0,Gradient-Based,0.9444530010223389,5958.689490906686,20.0
0,Gradient-Based,7.458950996398926,2112.1656887143004,140.0
0,Gradient-Based,3.034733772277832,3252.291342576888,50.0
0,Gradient-Based,0.2134552001953125,10000000.0,5.0
0,Gradient-Based,4.530701160430908,7772.432771325986,85.0
0,Gradient-Based,4.566129207611084,7922.103346663851,85.0
0,Gradient-Based,2.2336862087249756,7140.868468342839,40.0
0,Gradient-Based,1.4162509441375732,1290.3245131515228,25.0
0,Gradient-Based,21.42507529258728,5932.35052442679,340.0
0,Gradient-Based,8.595748662948608,8732.523253886251,155.0
0,Gradient-Based,0.19342398643493652,10000000.0,5.0
0,Gradient-Based,0.20958614349365234,10000000.0,5.0
0,Gradient-Based,7.623552083969116,10000000.0,145.0
0,Gradient-Based,13.50007700920105,4590.102285968239,255.0
0,Gradient-Based,0.2221829891204834,10000000.0,5.0
0,Gradient-Based,2.1415088176727295,5362.072370958641,40.0
0,Gradient-Based,1.4801201820373535,8426.492738590787,30.0
0,Gradient-Based,1.0293889045715332,3626.2670371937884,20.0
0,Gradient-Based,1.5225679874420166,3474.5896651659295,30.0
0,Gradient-Based,0.7125060558319092,7219.045072369739,15.0
0,Gradient-Based,0.22398614883422852,10000000.0,5.0
0,Gradient-Based,3.903104066848755,4228.329985763328,80.0
0,Gradient-Based,6.44300389289856,8594.447508919873,135.0
0,Gradient-Based,0.42069077491760254,10000000.0,10.0
0,Gradient-Based,6.283751964569092,10000000.0,145.0
0,Gradient-Based,26.522194147109985,4878.248736716073,505.0
0,Gradient-Based,3.8724780082702637,4303.6231623950725,85.0
0,Gradient-Based,4.208564043045044,3589.8976323511492,80.0
0,Gradient-Based,3.9496500492095947,4526.008263630666,75.0
0,Gradient-Based,0.9796271324157715,6270.277184873198,20.0
0,Gradient-Based,4.982280969619751,0.9969544129455956,110.0
0,Gradient-Based,0.2119920253753662,10000000.0,5.0
0,Gradient-Based,0.21965718269348145,10000000.0,5.0
0,Gradient-Based,3.578273057937622,6410.352109288546,75.0
0,Gradient-Based,0.21097803115844727,10000000.0,5.0
0,Gradient-Based,1.1573419570922852,4383.003237908779,25.0
0,Gradient-Based,0.23619508743286133,10000000.0,5.0
0,Gradient-Based,3.5708730220794678,5453.506599801365,75.0
0,Gradient-Based,3.9345781803131104,1688.471822608614,65.0
