,index,circuit,loss,theta_paf_prom1,theta_paf_prom2,theta_paf_prom3,theta_paca_prom1,theta_paca_prom2,theta_paca_prom3,k_paf_papA,k_paf_papB,k_paf_papC,k_paf_prom2,k_paf_prom3,k_paca_papA,k_paca_papB,k_paca_papC,k_paca_prom2,k_paca_prom3,best_losses,best_loss_circuit,perturb1,perturb0,Circuit,Best Circuit
0,0,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (0, 0, 0, 0, 1))",0.20006094737573518,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.20006094737573518,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (0, 0, 0, 0, 1))",0.0005,50.0,N-A1-N,N-A1-N
1,1,"((0, 0, 0, 1, 0), (0, 0, 0, 1, 0), (1, 0, 0, 0, 0))",0.24096564050157823,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.20006094737573518,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (0, 0, 0, 0, 1))",0.0005,50.0,R2-R2-A1,N-A1-N
2,2,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.133346942806483,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,R2-N-A2,R2-N-A2
3,3,"((0, 0, 0, 0, 1), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))",0.23985025035351173,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,N-N-N,R2-N-A2
4,4,"((0, 0, 0, 0, 1), (0, 0, 0, 0, 1), (0, 0, 0, 0, 1))",0.257694326309796,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,N-N-N,R2-N-A2
5,5,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.17944194506054448,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,R2-N-A2,R2-N-A2
6,6,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.2852687503045573,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,R2-N-A2,R2-N-A2
7,7,"((0, 0, 0, 0, 1), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))",10000.041161294144,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.133346942806483,"((0, 0, 0, 1, 0), (0, 0, 0, 0, 1), (0, 1, 0, 0, 0))",0.0005,50.0,N-A1-A2,R2-N-A2
8,8,"((0, 0, 1, 0, 0), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))",0.10718889582882161,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.10718889582882161,"((0, 0, 1, 0, 0), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))",0.0005,50.0,R1-R2-A2,R1-R2-A2
9,9,"((0, 0, 0, 1, 0), (1, 0, 0, 0, 0), (0, 1, 0, 0, 0))",10000.173107240746,7.453850757284448,7.71500451692795,0.9909334001078405,0.13912644043543296,8.581641047019655,1.63783452346226,3.7490375619010234,3.0788889218061066,0.15392106144426926,4.931420715085313,4.582365515639106,4.6837479220150025,4.650745883583896,3.0145933439185533,3.656564554228305,4.551009451960601,0.10718889582882161,"((0, 0, 1, 0, 0), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))",0.0005,50.0,R2-A1-A2,R1-R2-A2
